time,quite,jail,active,nCopsInjured,nAgentInjured,flag time
0,1120,0,0
1,570,44,503,4,3,0
2,292,93,732,13,3,0
3,298,125,695,24,2,0
4,296,151,671,33,2,1
5,296,165,657,42,2,2
6,294,175,649,43,2,3
7,300,181,637,44,2,4
8,300,189,630,41,1,5
9,298,195,626,44,1,6
10,306,198,616,35,0,7
11,299,211,610,35,0,8
12,299,224,597,32,0,0
13,300,241,579,32,0,0
14,302,254,564,33,0,1
15,306,262,552,35,0,2
16,319,251,550,37,0,3
17,307,254,559,39,0,4
18,307,257,556,36,0,5
19,307,263,550,36,0,6
20,305,269,546,39,0,7
21,306,271,543,33,0,8
22,311,276,533,33,0,9
23,308,281,531,36,0,10
24,305,289,526,31,0,0
25,307,297,516,31,0,0
26,312,303,505,28,0,0
27,304,316,500,29,0,0
28,309,326,485,35,0,1
29,302,336,482,38,0,2
30,307,338,475,42,0,3
31,320,325,475,39,0,4
32,315,320,485,34,0,5
33,303,334,483,29,0,0
34,313,338,469,31,0,0
35,315,341,464,29,0,0
36,310,349,461,29,0,0
37,312,353,455,32,0,0
38,303,358,459,41,0,1
39,318,350,452,40,0,2
40,316,342,462,40,0,3
41,318,330,472,46,0,4
42,312,321,487,40,0,5
43,313,315,492,40,0,6
44,308,316,496,36,0,7
45,309,314,497,36,0,8
46,313,313,494,30,0,0
47,316,314,490,28,0,0
48,320,315,485,29,0,0
49,314,317,489,36,0,1
50,319,307,494,40,0,2
51,315,301,504,41,0,3
52,310,295,515,39,0,4
53,310,290,520,39,0,5
54,311,289,520,37,0,6
55,313,284,523,41,0,7
56,310,283,527,37,0,8
57,312,279,529,43,0,9
58,313,277,530,35,0,10
59,310,279,531,35,0,11
60,310,279,531,35,0,12
61,310,279,531,35,0,13
62,310,279,531,35,0,14
63,311,278,531,35,0,15
64,311,278,531,35,0,16
65,311,278,531,35,0,17
66,311,278,531,35,0,18
67,311,278,531,35,0,19
68,311,278,531,35,0,20
69,311,278,531,35,0,21
70,311,278,531,35,0,22
71,311,278,531,35,0,23
72,311,278,531,35,0,24
73,311,278,531,35,0,25
74,311,278,531,35,0,26
75,311,278,531,35,0,27
76,311,278,531,35,0,28
77,311,278,531,35,0,29
78,311,278,531,35,0,30
79,311,278,531,35,0,31
80,311,278,531,35,0,32
81,311,278,531,35,0,33
82,311,278,531,35,0,34
83,310,278,532,35,0,35
84,310,278,532,35,0,36
85,309,278,533,35,0,37
86,309,278,533,35,0,38
87,309,278,533,35,0,39
88,309,278,533,35,0,40
89,309,278,533,35,0,41
90,309,278,533,35,0,42
91,309,278,533,35,0,43
92,309,278,533,35,0,44
93,309,278,533,35,0,45
94,309,278,533,35,0,46
95,309,278,533,35,0,47
96,309,279,532,35,0,48
97,309,279,532,35,0,49
98,309,279,532,35,0,50
99,309,279,532,35,0,51
100,309,279,532,35,0,52
101,309,279,532,35,0,53
102,309,279,532,35,0,54
103,309,279,532,35,0,55
104,309,279,532,35,0,56
105,309,279,532,35,0,57
106,309,279,532,35,0,58
107,309,279,532,35,0,59
108,309,279,532,35,0,60
109,309,279,532,35,0,61
110,309,279,532,35,0,62
111,309,279,532,35,0,63
112,309,279,532,35,0,64
113,309,279,532,35,0,65
114,309,279,532,35,0,66
115,309,279,532,35,0,67
116,309,279,532,35,0,68
117,309,279,532,35,0,69
118,309,279,532,35,0,70
119,309,279,532,35,0,71
120,309,279,532,35,0,72
121,309,279,532,35,0,73
122,309,279,532,35,0,74
123,309,279,532,35,0,75
124,309,279,532,35,0,76
125,309,279,532,35,0,77
126,309,279,532,35,0,78
127,309,279,532,35,0,79
128,309,279,532,35,0,80
129,309,279,532,34,0,81
130,309,279,532,34,0,82
131,309,279,532,34,0,83
132,309,279,532,34,0,84
133,309,279,532,34,0,85
134,309,279,532,34,0,86
135,309,279,532,34,0,87
136,309,279,532,34,0,88
137,309,279,532,34,0,89
138,309,279,532,34,0,90
139,309,279,532,34,0,91
140,309,279,532,34,0,92
141,309,279,532,34,0,93
142,309,279,532,34,0,94
143,309,279,532,34,0,95
144,309,279,532,34,0,96
145,309,279,532,34,0,97
146,309,279,532,34,0,98
147,309,279,532,34,0,99
148,309,279,532,34,0,100
149,309,279,532,34,0,101
150,309,279,532,34,0,102
151,309,279,532,34,0,103
152,309,279,532,34,0,104
153,309,279,532,34,0,105
154,309,279,532,34,0,106
155,309,279,532,34,0,107
156,309,279,532,34,0,108
157,309,279,532,34,0,109
158,309,279,532,34,0,110
159,309,279,532,34,0,111
160,309,279,532,34,0,112
161,309,279,532,34,0,113
162,309,279,532,34,0,114
163,309,279,532,34,0,115
164,309,279,532,34,0,116
165,309,279,532,34,0,117
166,309,279,532,34,0,118
167,309,279,532,34,0,119
168,309,279,532,34,0,120
169,309,279,532,34,0,121
170,309,279,532,34,0,122
171,309,279,532,34,0,123
172,309,279,532,34,0,124
173,309,279,532,34,0,125
174,309,279,532,34,0,126
175,309,279,532,34,0,127
176,309,279,532,34,0,128
177,309,279,532,34,0,129
178,310,279,531,34,0,130
179,310,279,531,34,0,131
180,310,279,531,34,0,132
181,310,279,531,34,0,133
182,310,279,531,34,0,134
183,310,279,531,34,0,135
184,310,279,531,34,0,136
185,310,279,531,34,0,137
186,310,279,531,34,0,138
187,310,279,531,34,0,139
188,310,279,531,34,0,140
189,310,279,531,34,0,141
190,310,279,531,34,0,142
191,310,279,531,34,0,143
192,310,279,531,34,0,144
193,310,279,531,34,0,145
194,310,279,531,34,0,146
195,310,279,531,34,0,147
196,310,279,531,34,0,148
197,310,279,531,34,0,149
198,310,279,531,34,0,150
199,310,279,531,34,0,151
200,310,279,531,34,0,152
201,310,280,530,34,0,153
202,310,280,530,34,0,154
203,310,280,530,34,0,155
204,310,280,530,34,0,156
205,310,280,530,34,0,157
206,310,280,530,34,0,158
207,310,280,530,34,0,159
208,310,280,530,34,0,160
209,310,280,530,34,0,161
210,310,280,530,34,0,162
211,310,280,530,34,0,163
212,310,280,530,34,0,164
213,310,280,530,34,0,165
214,310,280,530,34,0,166
215,310,280,530,34,0,167
216,310,280,530,34,0,168
217,310,280,530,34,0,169
218,310,280,530,34,0,170
219,311,279,530,34,0,171
220,311,279,530,34,0,172
221,312,279,529,34,0,173
222,312,279,529,34,0,174
223,312,279,529,34,0,175
224,312,279,529,34,0,176
225,312,279,529,34,0,177
226,312,279,529,34,0,178
227,312,279,529,34,0,179
228,312,279,529,35,0,180
229,312,279,529,35,0,181
230,312,279,529,35,0,182
231,312,279,529,35,0,183
232,312,279,529,35,0,184
233,312,279,529,35,0,185
234,312,279,529,35,0,186
235,312,279,529,35,0,187
236,312,279,529,35,0,188
237,311,279,530,35,0,189
238,311,279,530,35,0,190
239,311,279,530,35,0,191
240,311,279,530,35,0,192
241,311,279,530,35,0,193
242,311,279,530,35,0,194
243,311,279,530,35,0,195
244,311,279,530,35,0,196
245,311,279,530,35,0,197
246,311,279,530,35,0,198
247,311,279,530,35,0,199
248,311,279,530,35,0,200
249,312,278,530,35,0,201
250,312,278,530,35,0,202
251,312,278,530,35,0,203
252,312,278,530,35,0,204
253,312,278,530,35,0,205
254,312,278,530,35,0,206
255,312,278,530,35,0,207
256,312,278,530,35,0,208
257,311,278,531,35,0,209
258,311,278,531,35,0,210
259,311,278,531,35,0,211
260,311,278,531,35,0,212
261,311,278,531,35,0,213
262,311,278,531,35,0,214
263,311,278,531,35,0,215
264,311,278,531,35,0,216
265,311,278,531,35,0,217
266,311,278,531,35,0,218
267,311,278,531,35,0,219
268,311,278,531,35,0,220
269,311,278,531,35,0,221
270,311,278,531,35,0,222
271,311,278,531,35,0,223
272,311,278,531,35,0,224
273,311,278,531,34,0,225
274,311,278,531,34,0,226
275,310,278,532,34,0,227
276,310,278,532,34,0,228
277,310,278,532,34,0,229
278,310,278,532,34,0,230
279,311,277,532,34,0,231
280,311,277,532,34,0,232
281,311,277,532,34,0,233
282,311,277,532,34,0,234
283,311,277,532,34,0,235
284,311,277,532,34,0,236
285,311,277,532,34,0,237
286,311,277,532,34,0,238
287,311,277,532,34,0,239
288,311,277,532,34,0,240
289,311,277,532,34,0,241
290,311,277,532,34,0,242
291,311,277,532,34,0,243
292,311,277,532,34,0,244
293,311,277,532,34,0,245
294,311,277,532,34,0,246
295,311,277,532,34,0,247
296,311,277,532,34,0,248
297,311,277,532,34,0,249
298,311,277,532,34,0,250
299,311,277,532,34,0,251
300,311,277,532,34,0,252
301,311,277,532,34,0,253
302,311,277,532,34,0,254
303,311,277,532,34,0,255
304,311,277,532,34,0,256
305,311,277,532,34,0,257
306,311,277,532,34,0,258
307,311,277,532,34,0,259
308,311,277,532,34,0,260
309,311,277,532,34,0,261
310,311,277,532,34,0,262
311,311,277,532,34,0,263
312,311,277,532,34,0,264
313,311,277,532,34,0,265
314,311,278,531,34,0,266
315,311,278,531,34,0,267
316,311,278,531,34,0,268
317,311,278,531,34,0,269
318,311,278,531,34,0,270
319,311,278,531,34,0,271
320,311,278,531,34,0,272
321,311,278,531,34,0,273
322,311,278,531,34,0,274
323,311,278,531,34,0,275
324,311,278,531,34,0,276
325,311,278,531,34,0,277
326,311,278,531,34,0,278
327,311,278,531,34,0,279
328,311,278,531,34,0,280
329,311,278,531,34,0,281
330,311,278,531,34,0,282
331,311,278,531,34,0,283
332,311,278,531,34,0,284
333,311,278,531,34,0,285
334,311,278,531,34,0,286
335,311,278,531,34,0,287
336,311,278,531,34,0,288
337,311,278,531,34,0,289
338,311,278,531,34,0,290
339,311,278,531,34,0,291
340,311,278,531,34,0,292
341,311,278,531,34,0,293
342,311,278,531,34,0,294
343,311,278,531,34,0,295
344,311,278,531,34,0,296
345,311,278,531,34,0,297
346,311,278,531,34,0,298
