time,quite,jail,active
0,1120,0,0
1,1103,12,5
2,947,32,141
3,699,61,360
4,622,95,403
5,619,128,373
6,619,165,336
7,628,189,303
8,622,221,277
9,626,250,244
10,628,274,218
11,632,307,181
12,632,336,152
13,644,358,118
14,663,367,90
15,686,364,70
16,680,378,62
17,695,390,35
18,712,395,13
19,732,380,8
20,751,369,0
21,769,351,0
22,790,330,0
23,807,313,0
24,828,292,0
25,847,273,0
26,871,249,0
27,889,231,0
28,907,212,1
29,930,188,2
30,943,177,0
31,962,158,0
32,984,136,0
33,992,128,0
34,995,121,4
35,1000,115,5
36,927,112,81
37,753,124,243
38,634,146,340
39,634,169,317
40,638,185,297
41,630,209,281
42,628,232,260
43,631,254,235
44,632,277,211
45,643,287,190
46,635,306,179
47,636,330,154
48,650,348,122
49,652,366,102
50,664,377,79
51,671,388,61
52,692,397,31
53,713,394,13
54,729,389,2
55,755,365,0
56,767,353,0
57,789,330,1
58,813,307,0
59,842,278,0
60,861,257,2
61,875,245,0
62,890,230,0
63,910,207,3
64,881,192,47
65,816,198,106
66,696,210,214
67,642,226,252
68,641,238,241
69,639,258,223
70,637,267,216
71,639,281,200
72,646,286,188
73,638,304,178
74,641,313,166
75,639,340,141
76,650,358,112
77,671,360,89
78,675,373,72
79,697,374,49
80,718,372,30
81,736,381,3
82,750,364,6
83,770,349,1
84,789,331,0
85,815,305,0
86,834,286,0
87,855,265,0
88,861,258,1
89,869,244,7
90,847,239,34
91,816,244,60
92,792,245,83
93,678,256,186
94,660,268,192
95,655,282,183
96,664,297,159
97,658,317,145
98,646,334,140
99,651,345,124
100,655,357,108
101,670,366,84
102,699,368,53
103,721,364,35
104,744,357,19
105,743,360,17
106,762,358,0
107,783,337,0
108,802,317,1
109,808,306,6
110,794,302,24
111,802,298,20
112,819,284,17
113,842,276,2
114,852,255,13
115,854,241,25
116,833,236,51
117,793,240,87
118,705,255,160
119,646,266,208
120,637,283,200
121,649,293,178
122,642,321,157
123,649,340,131
124,662,349,109
125,681,361,78
126,692,385,43
127,691,389,40
128,699,389,32
129,718,377,25
130,726,369,25
131,735,368,17
132,767,352,1
133,791,329,0
134,810,309,1
135,831,288,1
136,841,277,2
137,856,264,0
138,875,245,0
139,892,227,1
140,910,207,3
141,890,198,32
142,832,203,85
143,749,217,154
144,645,246,229
145,637,262,221
146,631,281,208
147,650,288,182
148,654,293,173
149,658,300,162
150,653,317,150
151,648,336,136
152,656,345,119
153,655,361,104
154,673,376,71
155,693,376,51
156,694,379,47
157,702,374,44
158,724,370,26
159,741,366,13
160,753,360,7
161,782,338,0
162,801,318,1
163,823,297,0
164,842,278,0
165,842,261,17
166,831,254,35
167,840,249,31
168,847,242,31
169,828,234,58
170,800,230,90
171,691,246,183
172,650,256,214
173,639,273,208
174,637,298,185
175,656,310,154
176,672,325,123
177,668,340,112
178,660,360,100
179,671,373,76
180,693,380,47
181,718,383,19
182,739,371,10
183,756,360,4
184,776,344,0
185,792,328,0
186,806,313,1
187,826,294,0
188,844,276,0
189,860,259,1
190,883,237,0
191,900,220,0
192,916,204,0
193,934,186,0
194,950,170,0
195,969,151,0
196,984,136,0
197,999,121,0
198,1011,109,0
199,1025,95,0
200,1008,83,29
201,884,79,157
202,675,90,355
203,624,117,379
204,628,146,346
205,622,182,316
206,638,199,283
207,627,221,272
208,631,247,242
209,627,273,220
210,626,308,186
211,630,339,151
212,636,366,118
