legit,equipment
0.0,17.663936614990234
0.01,16.80763890646631
0.02,17.215438375480254
0.03,17.377442770444006
0.04,16.875497287588008
0.05,16.743914964682162
0.06,16.08908931077469
0.07,16.826907643975773
0.08,15.968051350196795
0.09,16.199813659743484
0.10,16.320330132561004
0.11,16.098694789879435
0.12,15.656039638338864
0.13,15.59440544908881
0.14,15.66041171618986
0.15,15.503176747481774
0.16,15.017283115900238
0.17,15.013158495903806
0.18,15.51145246941377
0.19,15.097252002167156
0.20,15.099519150131577
0.21,14.600471932126432
0.22,14.3647648504585
0.23,14.205633696872184
0.24,14.374837216230691
0.25,13.869033160129803
0.26,13.001795338318708
0.27,13.487323801377332
0.28,13.816353411706107
0.29,13.418745340806483
0.30,13.247161652519193
0.31,13.162668952770154
0.32,13.226601771725061
0.33,12.688544515813517
0.34,12.736173063994052
0.35,12.543000517216552
0.36,12.379552603982559
0.37,12.181210773016653
0.38,12.041807878733167
0.39,11.656314212205118
0.40,11.266086652061409
0.41,11.3740659243621
0.42,11.723303709320497
0.43,11.141217065794358
0.44,10.648552773547774
0.45,10.708882997238117
0.46,10.01310626685726
0.47,10.460390669835338
0.48,9.799912511391451
0.49,9.79781902422166
0.50,9.350207480054795
0.51,9.125640424183118
0.52,7.984656878715642
0.53,8.554347208785547
0.54,8.019439450277197
0.55,8.126457238087198
0.56,7.801577508415133
0.57,7.57444417885495
0.58,7.400154295100781
0.59,7.12508752473235
0.60,5.816531106158152
0.61,5.493824393786463
0.62,5.531678201001781
0.63,0.19278492753735452
0.64,0.007907194293524305
0.65,4.941996433452691E-4
0.66,2.4709982167263453E-4
0.67,1.2354991083631726E-4
0.68,6.177495541815863E-5
0.69,3.0887477709079316E-5
0.70,1.5443738854539658E-5
0.71,7.721869427269829E-6
0.72,3.8609347136349145E-6
0.73,1.9304673568174572E-6
0.74,9.652336784087286E-7
0.75,4.826168392043643E-7
0.76,2.4130841960218216E-7
0.77,1.2065420980109108E-7
0.78,6.032710490054554E-8
0.79,3.016355245027277E-8
0.80,1.5081776225136385E-8
0.81,7.540888112568192E-9
0.82,3.770444056284096E-9
0.83,1.885222028142048E-9
0.84,9.42611014071024E-10
0.85,4.71305507035512E-10
0.86,2.35652753517756E-10
0.87,1.17826376758878E-10
0.88,5.8913188379439E-11
0.89,2.94565941897195E-11
0.90,1.472829709485975E-11
0.91,7.364148547429875E-12
0.92,3.682074273714938E-12
0.93,1.841037136857469E-12
0.94,9.205185684287344E-13
0.95,4.602592842143672E-13
0.96,2.301296421071836E-13
0.97,1.150648210535918E-13
0.98,5.75324105267959E-14
0.99,2.876620526339795E-14
