time,quite,jail,active
0,1120,0,0
1,514,24,582
2,280,55,785
3,279,86,755
4,283,114,723
5,280,149,691
6,287,174,659
7,282,199,639
8,288,220,612
9,286,249,585
10,293,272,555
11,289,289,542
12,288,305,527
13,294,318,508
14,295,328,497
15,292,350,478
16,294,367,459
17,304,372,444
18,299,382,439
19,296,395,429
20,293,413,414
21,301,425,394
22,310,425,385
23,306,428,386
24,295,445,380
25,307,455,358
26,308,462,350
27,304,470,346
28,308,472,340
29,307,476,337
30,313,470,337
31,313,465,342
32,305,467,348
33,297,484,339
34,312,485,323
35,312,484,324
36,311,485,324
37,308,491,321
38,308,494,318
39,315,492,313
40,310,493,317
41,309,496,315
42,312,488,320
43,310,490,320
44,304,498,318
45,312,498,310
46,307,506,307
47,316,498,306
48,309,496,315
49,321,487,312
50,302,496,322
51,307,499,314
52,312,506,302
53,317,500,303
54,308,504,308
55,311,503,306
56,312,505,303
57,312,499,309
58,312,496,312
59,310,495,315
60,315,493,312
61,305,498,317
62,311,500,309
63,307,500,313
64,312,495,313
65,306,497,317
66,310,500,310
67,309,502,309
68,307,506,307
69,313,502,305
70,307,504,309
71,303,515,302
72,305,522,293
73,317,518,285
74,304,521,295
75,311,521,288
76,311,516,293
77,313,511,296
78,317,508,295
79,309,518,293
80,309,509,302
81,308,515,297
82,310,512,298
83,325,496,299
84,307,497,316
85,310,501,309
86,308,501,311
87,309,507,304
88,314,503,303
89,317,501,302
90,301,513,306
91,308,516,296
92,309,516,295
93,309,517,294
94,302,528,290
95,318,525,277
96,315,521,284
97,310,517,293
98,307,517,296
99,312,517,291
100,323,500,297
101,315,498,307
102,307,501,312
103,313,502,305
104,304,510,306
105,317,497,306
106,307,503,310
107,318,490,312
108,304,495,321
109,309,495,316
110,309,496,315
111,319,483,318
112,309,489,322
113,303,501,316
114,303,511,306
115,304,527,289
116,313,521,286
117,320,514,286
118,305,521,294
119,318,513,289
120,314,515,291
121,319,508,293
122,318,505,297
123,314,502,304
124,311,505,304
125,312,512,296
126,310,519,291
127,315,516,289
128,308,521,291
129,315,510,295
130,303,519,298
131,313,517,290
132,306,522,292
133,312,528,280
134,318,530,272
135,316,520,284
136,318,521,281
137,314,518,288
138,309,524,287
139,310,523,287
140,310,523,287
141,299,541,280
142,314,540,266
143,308,538,274
144,295,550,275
145,320,539,261
146,308,540,272
147,304,547,269
148,323,536,261
149,311,538,271
150,308,540,272
151,328,527,265
152,312,530,278
153,316,526,278
154,308,537,275
155,306,538,276
156,314,538,268
157,313,537,270
158,317,528,275
159,306,533,281
160,310,538,272
161,320,530,270
162,306,532,282
163,304,536,280
164,324,519,277
165,305,528,287
166,310,528,282
167,314,529,277
168,316,526,278
169,309,531,280
170,314,530,276
171,311,532,277
172,306,537,277
173,310,544,266
174,315,536,269
175,310,534,276
176,316,533,271
177,313,534,273
178,300,546,274
179,314,540,266
180,307,538,275
181,314,530,276
182,317,521,282
183,315,519,286
184,303,527,290
185,317,518,285
186,316,510,294
187,310,512,298
188,317,505,298
189,320,497,303
190,317,497,306
191,302,510,308
192,311,513,296
193,315,512,293
194,307,518,295
195,310,517,293
196,315,516,289
197,310,521,289
198,306,529,285
199,320,517,283
200,309,524,287
201,307,525,288
202,310,529,281
203,301,539,280
204,318,529,273
205,309,533,278
206,313,531,276
207,312,522,286
208,310,529,281
209,313,522,285
210,305,523,292
211,327,509,284
212,317,504,299
213,315,503,302
214,303,515,302
215,311,516,293
216,312,513,295
217,310,509,301
218,308,514,298
219,316,512,292
220,319,502,299
221,315,493,312
222,314,482,324
223,316,475,329
224,319,466,335
225,306,467,347
226,309,474,337
227,306,479,335
228,302,488,330
229,308,485,327
230,305,489,326
231,301,498,321
232,312,490,318
233,326,477,317
234,313,474,333
235,320,469,331
236,301,473,346
237,297,488,335
238,312,482,326
239,306,482,332
240,311,478,331
241,312,476,332
242,307,479,334
243,315,474,331
244,317,465,338
245,304,475,341
246,305,480,335
247,322,470,328
248,300,481,339
249,313,476,331
250,309,481,330
251,319,478,323
252,312,475,333
253,311,476,333
254,306,481,333
255,310,485,325
256,307,485,328
257,319,472,329
258,297,486,337
259,309,489,322
260,307,491,322
261,307,494,319
262,308,496,316
263,307,493,320
264,309,498,313
265,310,495,315
266,305,503,312
267,314,500,306
268,310,499,311
269,318,489,313
270,317,481,322
271,308,483,329
272,313,485,322
273,308,486,326
274,305,487,328
275,297,502,321
276,311,502,307
277,312,504,304
278,302,516,302
279,316,510,294
280,310,510,300
281,311,511,298
282,310,506,304
283,310,509,301
284,316,508,296
285,304,517,299
286,313,513,294
287,311,512,297
288,321,499,300
289,317,495,308
290,301,504,315
291,317,495,308
292,311,498,311
293,309,502,309
294,320,494,306
295,306,498,316
296,314,493,313
297,315,491,314
298,315,492,313
299,303,494,323
300,318,484,318
301,307,491,322
302,310,489,321
303,303,498,319
304,318,491,311
305,299,500,321
306,311,501,308
307,313,501,306
308,310,506,304
309,318,493,309
310,304,500,316
311,322,487,311
312,312,485,323
313,307,493,320
314,319,487,314
315,317,480,323
316,303,484,333
317,301,492,327
318,305,495,320
319,312,495,313
320,305,494,321
321,309,498,313
322,314,488,318
323,306,494,320
324,311,495,314
325,304,500,316
326,324,482,314
327,310,478,332
328,312,481,327
329,308,480,332
330,303,486,331
331,311,488,321
332,319,478,323
333,319,472,329
334,317,460,343
335,308,461,351
336,304,465,351
337,307,463,350
338,313,457,350
339,305,464,351
340,317,460,343
341,318,449,353
342,311,452,357
343,309,458,353
344,310,455,355
345,307,458,355
346,297,474,349
347,324,465,331
348,306,466,348
349,303,473,344
350,317,466,337
351,300,476,344
352,314,473,333
353,305,478,337
354,305,471,344
355,317,462,341
356,316,456,348
357,312,452,356
358,309,458,353
359,308,457,355
360,316,450,354
361,306,456,358
362,306,461,353
363,309,464,347
364,306,471,343
365,308,475,337
366,310,473,337
367,306,478,336
368,311,476,333
369,306,480,334
370,300,491,329
371,308,489,323
372,307,490,323
373,316,483,321
374,307,491,322
375,308,493,319
376,317,488,315
377,302,493,325
378,307,497,316
379,305,502,313
380,313,500,307
381,311,497,312
382,309,497,314
383,306,504,310
384,311,499,310
385,308,500,312
386,309,498,313
387,306,501,313
388,325,485,310
389,317,472,331
390,313,464,343
391,310,461,349
392,301,469,350
393,316,463,341
394,309,463,348
395,303,469,348
396,309,469,342
397,303,475,342
398,308,477,335
399,307,489,324
400,308,488,324
401,306,496,318
402,299,507,314
403,310,509,301
404,318,502,300
405,311,507,302
406,309,506,305
407,309,506,305
408,309,509,302
409,304,517,299
410,315,510,295
411,304,516,300
412,313,514,293
413,317,507,296
414,302,520,298
415,304,531,285
416,315,532,273
417,312,533,275
418,318,527,275
419,314,527,279
420,315,514,291
421,314,511,295
422,310,511,299
423,322,490,308
424,303,500,317
425,314,490,316
426,311,484,325
427,307,487,326
428,310,484,326
429,309,485,326
430,307,483,330
431,312,487,321
432,311,488,321
433,303,493,324
434,312,486,322
435,317,477,326
436,311,477,332
437,304,481,335
438,309,491,320
439,310,491,319
440,308,492,320
441,298,509,313
442,310,505,305
443,310,503,307
444,314,504,302
445,315,500,305
446,315,494,311
447,315,489,316
448,308,494,318
449,303,498,319
450,312,497,311
451,312,498,310
452,319,489,312
453,313,487,320
454,314,490,316
455,307,493,320
456,309,494,317
457,310,485,325
458,320,472,328
459,311,474,335
460,309,472,339
461,305,478,337
462,312,473,335
463,312,474,334
464,303,481,336
465,312,476,332
466,306,481,333
467,308,481,331
468,313,485,322
469,308,489,323
470,306,494,320
