time,quite,jail,active
0,1120,0,0
1,1105,7,8
2,1070,23,27
3,880,62,178
4,692,118,310
5,661,172,287
6,659,229,232
7,669,276,175
8,671,322,127
9,676,373,71
10,698,409,13
11,718,402,0
12,738,382,0
13,753,367,0
14,763,357,0
15,782,338,0
16,794,325,1
17,814,306,0
18,823,296,1
19,844,276,0
20,858,262,0
21,873,246,1
22,889,231,0
23,906,214,0
24,923,197,0
25,936,184,0
26,950,170,0
27,964,156,0
28,975,145,0
29,990,130,0
30,1009,111,0
31,1027,93,0
32,1041,79,0
33,1063,57,0
34,1075,45,0
35,1087,32,1
36,993,36,91
37,777,78,265
38,660,135,325
39,661,190,269
40,664,242,214
41,670,290,160
42,675,333,112
43,681,381,58
44,707,407,6
45,726,394,0
46,748,372,0
47,765,355,0
48,773,347,0
49,783,337,0
50,796,324,0
51,817,303,0
52,841,279,0
53,859,260,1
54,871,249,0
55,882,237,1
56,895,225,0
57,909,211,0
58,928,192,0
59,948,172,0
60,959,161,0
61,977,143,0
62,997,123,0
63,1012,108,0
64,1031,89,0
65,1046,73,1
66,1060,60,0
67,1075,45,0
68,1080,40,0
69,1089,31,0
70,1096,24,0
71,1102,18,0
72,1098,14,8
73,1003,36,81
74,831,83,206
75,668,139,313
76,662,193,265
77,662,248,210
78,666,301,153
79,683,347,90
80,705,378,37
81,724,392,4
82,744,376,0
83,753,367,0
84,757,355,8
85,770,347,3
86,773,339,8
87,779,332,9
88,793,326,1
89,813,307,0
90,826,294,0
91,843,277,0
92,861,256,3
93,876,244,0
94,892,228,0
95,914,206,0
96,941,179,0
97,962,158,0
98,951,147,22
99,882,159,79
100,761,195,164
101,678,239,203
102,677,280,163
103,701,309,110
104,715,334,71
105,726,365,29
106,741,370,9
107,762,357,1
108,783,337,0
109,798,322,0
110,813,307,0
111,831,289,0
112,847,273,0
113,861,259,0
114,875,245,0
115,896,224,0
116,865,214,41
117,807,224,89
118,767,262,91
119,740,300,80
120,747,339,34
121,765,345,10
122,782,337,1
123,807,313,0
124,829,291,0
125,858,262,0
126,879,241,0
127,894,226,0
128,908,212,0
129,927,193,0
130,943,177,0
131,957,163,0
132,976,144,0
133,989,131,0
134,993,127,0
135,1000,120,0
136,1003,117,0
137,1014,106,0
138,1023,97,0
139,1029,91,0
140,1035,85,0
141,1040,80,0
142,1049,71,0
143,1059,60,1
144,1069,51,0
145,1079,41,0
146,1082,36,2
147,1088,31,1
148,1099,21,0
149,1101,19,0
150,1103,17,0
151,1102,18,0
