t,q,j,a
0,1440,0,0
1,1440,0,0
2,1440,0,0
3,1440,0,0
4,1440,0,0
5,1440,0,0
6,1440,0,0
7,1440,0,0
8,1440,0,0
9,1440,0,0
10,1440,0,0
11,1440,0,0
12,1440,0,0
13,1440,0,0
14,1440,0,0
15,1440,0,0
16,1440,0,0
17,1440,0,0
18,1440,0,0
19,1440,0,0
20,1440,0,0
21,1440,0,0
22,1440,0,0
23,1440,0,0
24,1440,0,0
25,1440,0,0
26,1440,0,0
27,1440,0,0
28,1440,0,0
29,1440,0,0
30,1440,0,0
31,1440,0,0
32,1440,0,0
33,1440,0,0
34,1440,0,0
35,1440,0,0
36,1440,0,0
37,1440,0,0
38,1440,0,0
39,1440,0,0
40,1440,0,0
41,1440,0,0
42,1440,0,0
43,1440,0,0
44,1440,0,0
45,1440,0,0
46,1440,0,0
47,1440,0,0
48,1440,0,0
49,1440,0,0
50,1440,0,0
51,1440,0,0
52,1440,0,0
53,1440,0,0
54,1440,0,0
55,1440,0,0
56,1440,0,0
57,1440,0,0
58,1440,0,0
59,1440,0,0
60,1440,0,0
61,1440,0,0
62,1440,0,0
63,1440,0,0
64,1440,0,0
65,1440,0,0
66,1440,0,0
67,1440,0,0
68,1440,0,0
69,1440,0,0
70,1440,0,0
71,1440,0,0
72,1440,0,0
73,1440,0,0
74,1440,0,0
75,1440,0,0
76,1440,0,0
77,1440,0,0
78,1440,0,0
79,1440,0,0
80,1440,0,0
81,1440,0,0
82,1440,0,0
83,1440,0,0
84,1440,0,0
85,1440,0,0
86,1440,0,0
87,1440,0,0
88,1440,0,0
89,1440,0,0
90,1440,0,0
91,1440,0,0
92,1440,0,0
93,1440,0,0
94,1440,0,0
95,1440,0,0
96,1440,0,0
97,1440,0,0
98,1440,0,0
99,1440,0,0
100,1440,0,0
101,1440,0,0
102,1440,0,0
103,1440,0,0
104,1440,0,0
105,1440,0,0
106,1440,0,0
107,1440,0,0
108,1440,0,0
109,1440,0,0
110,1440,0,0
111,1440,0,0
112,1440,0,0
113,1440,0,0
114,1440,0,0
115,1440,0,0
116,1440,0,0
117,1440,0,0
118,1440,0,0
119,1440,0,0
120,1440,0,0
121,1440,0,0
122,1440,0,0
123,1440,0,0
124,1440,0,0
125,1440,0,0
126,1440,0,0
127,1440,0,0
128,1440,0,0
129,1440,0,0
130,1440,0,0
131,1440,0,0
132,1440,0,0
133,1440,0,0
134,1440,0,0
135,1440,0,0
136,1440,0,0
137,1440,0,0
138,1440,0,0
139,1440,0,0
140,1440,0,0
141,1440,0,0
142,1440,0,0
143,1440,0,0
144,1440,0,0
145,1440,0,0
146,1440,0,0
147,1440,0,0
148,1440,0,0
149,1440,0,0
150,1440,0,0
151,1440,0,0
152,1440,0,0
153,1440,0,0
154,1440,0,0
155,1440,0,0
156,1440,0,0
157,1440,0,0
158,1440,0,0
159,1440,0,0
160,1440,0,0
161,1440,0,0
162,1440,0,0
163,1440,0,0
164,1440,0,0
165,1440,0,0
166,1440,0,0
167,1440,0,0
168,1440,0,0
169,1440,0,0
170,1440,0,0
171,1440,0,0
172,1440,0,0
173,1440,0,0
174,1440,0,0
175,1440,0,0
176,1440,0,0
177,1440,0,0
178,1440,0,0
179,1440,0,0
180,1440,0,0
181,1440,0,0
