t,q,j,a
0,1440,0,0
1,1217,21,202
2,823,80,537
3,813,139,488
4,815,196,429
5,817,250,373
6,824,297,319
7,824,341,275
8,826,387,227
9,823,434,183
10,827,479,134
11,841,516,83
12,876,540,24
13,908,527,5
14,933,507,0
15,963,477,0
16,979,461,0
17,997,443,0
18,1020,420,0
19,1060,380,0
20,1071,363,6
21,1099,340,1
22,1126,314,0
23,1146,294,0
24,1162,270,8
25,1144,260,36
26,1065,273,102
27,960,299,181
28,875,327,238
29,847,358,235
30,841,385,214
31,848,412,180
32,844,446,150
33,854,468,118
34,858,497,85
35,878,520,42
36,889,530,21
37,915,517,8
38,952,487,1
39,980,459,1
40,982,438,20
41,995,436,9
42,1013,427,0
43,1041,399,0
44,1064,375,1
45,1089,351,0
46,1116,323,1
47,1135,305,0
48,1147,282,11
49,1110,281,49
50,1015,300,125
51,873,337,230
52,840,367,233
53,846,393,201
54,846,422,172
55,860,448,132
56,886,464,90
57,885,490,65
58,907,489,44
59,943,485,12
60,957,474,9
61,987,453,0
62,1009,428,3
63,1035,403,2
64,1061,377,2
65,1087,351,2
66,1108,324,8
67,1033,326,81
68,975,356,109
69,888,393,159
70,839,431,170
71,849,468,123
72,863,494,83
73,888,514,38
74,909,506,25
75,936,503,1
76,965,474,1
77,1005,435,0
78,1040,400,0
79,1052,375,13
80,1035,363,42
81,1015,361,64
82,949,377,114
83,859,414,167
84,852,443,145
85,854,478,108
86,882,499,59
87,919,507,14
88,940,494,6
89,944,489,7
90,971,468,1
91,1002,438,0
92,1030,410,0
93,1055,382,3
94,1071,367,2
95,1103,336,1
96,1137,302,1
97,1156,283,1
98,1151,265,24
99,1049,282,109
100,912,320,208
101,848,355,237
102,840,393,207
103,837,427,176
104,838,467,135
105,864,492,84
106,893,510,37
107,923,509,8
108,971,469,0
109,992,441,7
110,990,434,16
111,984,432,24
112,1011,417,12
113,1023,398,19
114,1004,397,39
115,977,404,59
116,948,430,62
117,933,452,55
118,925,470,45
119,915,482,43
120,919,485,36
121,933,488,19
122,965,474,1
123,979,454,7
124,1012,428,0
125,1037,383,20
126,1031,368,41
127,1022,369,49
128,978,377,85
129,920,396,124
130,893,419,128
131,878,445,117
132,893,460,87
133,888,482,70
134,900,494,46
135,919,488,33
136,937,485,18
137,968,470,2
138,990,450,0
139,1014,425,1
140,1040,400,0
141,1065,375,0
142,1093,339,8
143,1077,331,32
